date,close,high,low,open,volume
2006-01-02,14.8,15.1,14.55,14.8,1654000
2006-01-03,15.05,15.7,14.8,14.85,4592000
2006-01-04,15.1,15.8,15.1,15.5,4404000
2006-01-05,14.85,15.5,14.7,15.3,3025000
2006-01-06,14.2,15,14.2,14.9,2219000
2006-01-09,15.15,15.15,14.35,14.5,1847000
2006-01-10,14.75,15.4,14.7,15.4,3232000
2006-01-11,14.4,14.85,14.1,14.7,1998000
2006-01-12,13.8,14.6,13.8,14.4,1551000
2006-01-13,13.65,14.1,13.5,13.8,1130000
2006-01-16,14.5,14.5,13.65,13.65,1962000
2006-01-17,14.4,14.95,14.4,14.5,2807000
2006-01-18,13.6,14.4,13.5,14,1249000
2006-01-19,13.65,14.2,13.1,13.1,944000
2006-01-20,13.3,13.9,13.25,13.7,698000
2006-01-23,12.4,13,12.4,13,796000
2006-01-24,12.55,12.75,12.45,12.45,675000
2006-01-25,12.75,12.85,12.65,12.65,482000
2006-02-03,13.1,13.1,12.8,12.8,417000
2006-02-06,13.1,13.1,12.8,12.9,386000
2006-02-07,13.25,13.35,13,13.2,837000
2006-02-08,12.8,13.25,12.8,13.25,558000
2006-02-09,12.9,13.2,12.85,13,801000
2006-02-10,12.8,12.9,12.55,12.8,529000
2006-02-13,12.2,12.7,12.1,12.5,629000
2006-02-14,12.35,12.55,12.2,12.2,443000
2006-02-15,12.7,12.85,12.5,12.5,821000
2006-02-16,12.7,12.9,12.65,12.8,563000
2006-02-17,12.35,12.8,12.25,12.75,610000
2006-02-20,12.05,12.4,12.05,12.4,422000
2006-02-21,11.8,12.2,11.8,12,767000
2006-02-22,11.25,11.8,11.2,11.8,592000
2006-02-23,11.05,11.3,10.95,11,510000
2006-02-24,11.25,11.25,10.9,10.95,444000
2006-02-27,11.25,11.3,11,11,270000
2006-03-01,12,12,11.15,11.25,697000
2006-03-02,12.2,12.4,11.9,12.3,1078000
2006-03-03,11.6,12.3,11.6,12.3,754000
2006-03-06,11.75,11.85,11.6,11.6,345000
2006-03-07,11.85,12.2,11.6,11.75,612000
2006-03-08,11.75,11.9,11.65,11.85,358000
2006-03-09,12,12,11.75,11.75,777000
2006-03-10,12.1,12.2,11.9,12,966000
2006-03-13,12.45,12.55,12.15,12.2,2175000
2006-03-14,12.1,12.55,11.85,12.5,866000
2006-03-15,12.5,12.7,12.1,12.25,1874000
2006-03-16,13.1,13.35,12.7,12.7,4363000
2006-03-17,12.9,13.15,12.5,12.7,1920000
2006-03-20,13,13.45,12.9,13,2860000
2006-03-21,12.9,13.1,12.6,13.1,706000
2006-03-22,12.65,13,12.6,12.7,822000
2006-03-23,12.2,12.75,12.05,12.65,709000
2006-03-24,12.2,12.35,12.15,12.2,536000
2006-03-27,12.35,12.45,12.2,12.2,615000
2006-03-28,12.65,12.7,12.35,12.35,778000
2006-03-29,13.25,13.5,12.55,12.65,3409000
2006-03-30,13.05,13.3,13.05,13.1,1417000
2006-03-31,13.35,13.6,13.1,13.1,1811000
2006-04-03,13.2,13.45,13.2,13.35,1330000
2006-04-04,13.3,13.5,13.15,13.2,870000
2006-04-06,13.55,13.8,13.4,13.5,1127000
2006-04-07,13.65,14.1,13.55,13.6,2001000
2006-04-10,14,14.3,13.8,13.95,2830000
2006-04-11,14.8,14.9,14.05,14.15,4294000
2006-04-12,15.6,15.8,15,15,11677000
2006-04-13,15.3,16.3,15.3,16,6149000
2006-04-14,15.15,15.75,15.15,15.3,4877000
2006-04-17,14.75,15.65,14.75,15.2,2915000
2006-04-18,15.05,15.2,14.8,14.8,1957000
2006-04-19,14.8,15.4,14.55,15.2,2492000
2006-04-20,14.95,15.3,14.8,14.8,2860000
2006-04-21,15.3,15.7,15.05,15.15,5586000
2006-04-24,16.35,16.35,16,16.35,6926000
2006-04-25,15.8,16.95,15.7,16.65,6919000
2006-04-26,16.15,16.3,15.65,15.8,2552000
2006-04-27,15.45,16.4,15.4,16.3,2903000
2006-04-28,15.6,15.75,15.3,15.6,2135000
2006-05-02,15.65,15.85,15.1,15.6,1543000
2006-05-03,16.35,16.55,15.4,15.8,5715000
2006-05-04,16.3,17.1,16.05,16.8,5553000
2006-05-05,15.65,16.55,15.6,16.3,3334000
2006-05-08,15.3,16,15.3,16,2033000
2006-05-09,15,15.5,15,15.3,1717000
2006-05-10,15.25,15.8,15.1,15.25,1655000
2006-05-11,15.55,15.8,15.2,15.3,3277000
2006-05-12,16.1,16.55,15.7,15.7,7115000
2006-05-15,17.2,17.2,16.8,17.2,8350000
2006-05-16,16.9,17.75,16.8,17.7,7716000
2006-05-17,17.2,17.6,16.8,17.2,5383000
2006-05-18,17.2,17.35,16.6,16.6,2657000
2006-05-19,17.8,18,17.25,17.4,3898000
2006-05-22,19,19,18.05,18.2,8334000
2006-05-23,18.65,19.1,17.95,19,5932000
2006-05-24,17.95,19.35,17.4,19,7446000
2006-05-25,16.85,17.9,16.7,17.9,3733000
2006-05-26,17,17.65,17,17.2,2663000
2006-05-29,17.5,17.65,17.1,17.55,1616000
2006-05-30,17.5,18.15,17.5,17.8,2198000
2006-06-01,17.4,17.8,17.4,17.7,1468000
2006-06-02,17,17.7,16.85,17.6,1693000
2006-06-05,15.85,17.15,15.85,17,2228000
2006-06-06,15.3,15.8,14.85,15.5,1990000
2006-06-07,15.25,15.55,14.9,15,1236000
2006-06-08,14.2,15,14.2,15,1759000
2006-06-09,14.05,14.4,13.25,13.55,3226000
2006-06-12,14.35,14.4,13.65,13.8,1691000
2006-06-13,13.55,14.3,13.35,14,1511000
2006-06-14,13.7,13.95,13.45,13.7,1935000
2006-06-15,12.85,13.85,12.85,13.85,1623000
2006-06-16,13.7,13.7,13.1,13.2,2505000
2006-06-19,13.9,14,13.6,13.7,1366000
2006-06-20,13.3,13.95,13.25,13.85,856000
2006-06-21,13.5,13.85,13.3,13.4,831000
2006-06-22,14.2,14.2,13.7,13.8,899000
2006-06-23,13.7,14.15,13.4,14.15,596000
2006-06-26,14.05,14.2,13.8,13.8,855000
2006-06-27,14.25,14.65,14.1,14.15,1237000
2006-06-28,14.05,14.35,14,14.1,669000
2006-06-29,14.3,14.5,14.1,14.25,629000
2006-06-30,14.75,14.9,14.3,14.55,1897000
2006-07-03,14.4,14.6,14,14.6,846000
2006-07-04,14.25,14.65,14.2,14.4,604000
2006-07-05,14.2,14.6,14.2,14.4,1028000
2006-07-06,14.85,15.15,14.3,14.3,2731000
2006-07-07,14.9,15.2,14.7,14.85,1623000
2006-07-10,14.75,14.9,14.5,14.7,368000
2006-07-11,14.7,14.9,14.7,14.8,370000
2006-07-12,14.9,15.05,14.7,14.8,695000
2006-07-13,15.05,15.5,14.95,15,1366000
2006-07-14,14.6,15.2,14.6,14.9,888000
2006-07-17,13.9,14.8,13.7,14.6,1155000
2006-07-18,14.1,14.3,13.8,13.8,402000
2006-07-19,13.85,14.2,13.85,14.15,641000
2006-07-20,14.05,14.3,14.05,14.05,538000
2006-07-21,14.05,14.15,13.8,13.9,447000
2006-07-24,13.85,13.95,13.8,13.85,404000
2006-07-25,13.9,14.1,13.9,14,418000
2006-07-26,14,14.1,13.8,13.9,367000
2006-07-27,14.4,14.6,13.9,14.05,1085000
2006-07-28,14.65,14.7,14.3,14.4,1252000
2006-07-31,14.7,14.95,14.6,14.9,749000
2006-08-01,14.35,14.7,14.35,14.7,677000
2006-08-02,14.9,14.95,14.35,14.35,1496000
2006-08-03,15.5,15.5,14.9,15,3548000
2006-08-04,14.1,15.2,14,14.7,3337000
2006-08-07,14.1,14.5,14,14,1181000
2006-08-08,14.65,14.7,14.15,14.3,1206000
2006-08-09,14.95,15.15,14.7,14.7,2241000
2006-08-10,14.9,15.2,14.8,15.2,1789000
2006-08-11,15.9,15.9,14.9,14.9,3907000
2006-08-14,15.9,16.6,15.9,16.4,5446000
2006-08-15,16,16.2,15.8,16,1773000
2006-08-16,15.9,16.3,15.85,16.2,1774000
2006-08-17,15.45,16.2,15.3,15.9,1518000
2006-08-18,15.2,15.7,15.2,15.7,851000
2006-08-21,14.2,15.3,14.15,15.3,1026000
2006-08-22,14.65,14.7,14.15,14.15,812000
2006-08-23,14.65,14.75,14.3,14.6,518000
2006-08-24,15.5,15.5,14.6,14.6,1414000
2006-08-25,15.15,16,14.9,15.5,3889000
2006-08-28,14.8,15.5,14.75,15.15,2913000
2006-08-29,14.75,15.05,14.6,14.8,1105000
2006-08-30,14.95,15.1,14.55,14.9,1185000
2006-08-31,15.2,15.35,15,15.1,1346000
2006-09-01,15.95,15.95,15.4,15.5,4234000
2006-09-04,15.95,16.45,15.85,16.3,3595000
